rva	size	donor	donor_rva	symbol	unit	score	margin	target_strings	evidence
0x00080a10	0x40	pol20	0x000cabb0	void heroWindowManager::Close(void);   // virtual [override (implements baseManager pure virtual)]	BASE/WINMGR	0.439069	0.091499		shape=0.125;size=0.928;calls=1.000;alternate=buka21:__mbsnbicoll@0x000e7587:0.405910
0x00080a50	0x18	buka21	0x000e5fed	__ui64toa	(libcmt)	0.481591	0.076739		shape=0.250;size=0.889;calls=1.000;alternate=pol20:long int KBTickCount(void)@0x0001d011:0.455000
0x00080a68	0x28	buka21	0x000d6ef0	__ftol	(libcmt)	0.808441	0.408876		shape=0.933;size=0.975;calls=1.000;alternate=pol20:void SETFOURTH(int, unsigned char)@0x000d5740:0.316669
0x00080a90	0x30	buka21	0x000d6e90	__fpmath	(libcmt)	0.409476	0.067832		shape=0.444;size=0.479;calls=1.000;alternate=pol20:void textWidget::~destructor(void)@0x000d1250:0.360565
0x00080ac0	0x40	pol20	0x000dde60	void widget::constructor(void)	BASE/WIDGET	0.547188	0.133125		shape=0.333;size=0.984;calls=1.000;alternate=buka21:__cfltcvt_init@0x000d6ea8:0.497500
0x00080b00	0x117	pol20	0x000cf710	void heroWindow::DrawWindow(int, int, int)	BASE/WINDOW	0.303416	0.005547		shape=0.028;size=0.996;calls=0.000;alternate=buka21:?moveToFrontCodeAndSend@@YIXPAUBitStream@@H@Z@0x000c8500:0.239690
0x00080c17	0x49f	pol20	0x0009589f	void combatManager::ShootMissile(int, int, int, int, float *, class icon *)	SOURCE/CMBTMGR	0.319786	0.018268		shape=0.005;size=0.892;calls=0.476;alternate=buka21:__CIsin@0x000d8490:0.018043
0x000810b6	0x13	buka21	0x000d9369	_fopen	(libcmt)	0.464286	0.018947		shape=0.143;size=1.000;calls=1.000;alternate=pol20:void SRand(int)@0x000c6a50:0.426579
0x000810c9	0x13	buka21	0x000d9369	_fopen	(libcmt)	0.464286	0.018947		shape=0.143;size=1.000;calls=1.000;alternate=pol20:void SRand(int)@0x000c6a50:0.426579
0x000810dc	0x4c	pol20	0x000c7e10	void icon::ClipFillToBuffer(int, int, int, int, int, int, int, int, int)	BASE/ICON	0.320391	0.053992		shape=0.034;size=0.803;calls=0.500;alternate=buka21:__setmode_lk@0x000e4185:0.315930
